origin,destination
DEL,BOM
BOM,DEL
DEL,BLR
BLR,DEL
BOM,BLR
BLR,BOM
HYD,BOM
BOM,HYD
HYD,DEL
DEL,HYD
CCU,BOM
BOM,CCU
AMD,BOM
BOM,AMD
