iata_code,name,municipality,airport_type,scheduled_service
RJA,Rajahmundry Airport,Madhurapudi,medium_airport,yes
RJI,Rajouri Airport,Rajouri,small_airport,no
RMD,Basanth Nagar Airport,Ramagundam,small_airport,no
RPR,Swami Vivekananda Airport,Raipur,medium_airport,yes
RQY,Rashtrakavi Kuvempu Airport,Shimoga,medium_airport,no
RRK,Rourkela Airport,Rourkela,medium_airport,no
RTC,Ratnagiri Airport,,medium_airport,no
RUP,Rupsi Airport,Rupsi,small_airport,no
SAG,Shirdi International Airport,Kakadi,large_airport,yes
SDW,Sindhudurg Airport,Chipi,medium_airport,yes
SHL,Shillong Airport,Shillong,medium_airport,yes
SLV,Shimla Airport,Jubbarhatti,small_airport,no
SSE,Solapur Airport,Solapur,medium_airport,no
STV,Surat International Airport,Surat,large_airport,yes
SWN,Sarsawa Air Force Station,Sherpur Naqeebpur,small_airport,no
SXR,Sheikh ul Alam International Airport,Srinagar,large_airport,yes
SXV,Salem Airport,Salem,medium_airport,no
TCR,Tuticorin Airport,Vagaikulam,small_airport,yes
TEI,Tezu Airport,Tezu,small_airport,no
TEZ,Tezpur Airport,,medium_airport,yes
TIR,Tirupati International Airport,Tirupati,large_airport,yes
TJV,Thanjavur Air Force Station,Thanjavur,small_airport,no
TNI,Satna Airport,,small_airport,no
TRV,Thiruvananthapuram International Airport,Thiruvananthapuram,large_airport,yes
TRZ,Tiruchirappalli International Airport,Tiruchirappalli,large_airport,yes
UDR,Maharana Pratap Airport,Udaipur,medium_airport,yes
UKE,Utkela Airport,Bhawanipatna,medium_airport,yes
VDY,Jindal Vijaynagar Airport,Toranagallu,small_airport,no
VGA,Vijayawada International Airport,Vijayawada,large_airport,yes
VNS,Lal Bahadur Shastri International Airport,Varanasi,large_airport,yes
VSV,Shravasti Airport,Shravasti,small_airport,yes
VTZ,Visakhapatnam International Airport,Visakhapatnam,large_airport,yes
WGC,Warangal Airport,Warangal,small_airport,no
ZER,Ziro Airport,Ziro,medium_airport,no
